"MORE_INFORMATION","Aflați mai multe"
"MESSAGE","Cookie-urile ne ajută să oferim serviciile noastre. Utilizând aceste servicii, acceptați modul în care utilizăm cookie-urile."
"ACCEPT","Accepta"
