"MORE_INFORMATION","Weitere Informationen"
"MESSAGE","Cookies helfen uns bei der Bereitstellung unserer Dienste. Durch die Nutzung unserer Dienste erklären Sie sich damit einverstanden, dass wir Cookies setzen."
"ACCEPT","Akzeptieren"
