"MORE_INFORMATION","Meer informatie"
"MESSAGE","Cookies helpen ons bij het leveren van onze diensten. Door gebruik te maken van onze diensten, gaat u akkoord met ons gebruik van cookies."
"ACCEPT","Accepteren"
