"MORE_INFORMATION","Περισσότερες πληροφορίες"
"MESSAGE","Αυτή η ιστοσελίδα χρησιμοποιεί cookies. Συνεχίζοντας την περιήγησή σας στην ιστοσελίδα συμφωνείτε με τη χρήση τους."
"ACCEPT","Αποδοχή"
